trailer_title,url,imdb_id,year,rating,votes,genre
THE AMAZING DR CLITTERHOUSE trailer.,https://archive.org/download/TheAmazingDrClitterhouseTrailer/TheAmazingDrClitterhouseTrailer.mp4,0029864,1938,7.0,2303.0,Crime|Drama
THE YOUNG IN HEART trailer,https://archive.org/download/TheYoungInHeartTrailer/TheYoungInHeartTrailer.mp4,0031002,1938,7.3,1226.0,Comedy|Drama
THE DAWN PATROL 1938 trailer.,https://archive.org/download/TheDawnPatrolTrailer/TheDawnPatrolTrailer.mp4,0030044,1938,7.5,2710.0,Drama|War
THE COWBOY AND THE LADY trailer,https://archive.org/download/TheCowboyAndTheLadyTrailer/TheCowboyAndTheLadyTrailer.mp4,0030018,1938,6.6,1256.0,Comedy|Drama|Romance|Western
IDIOT'S DELIGHT trailer,https://archive.org/download/IdiotsDelightTrailer/IdiotsDelightTrailer.mp4,0031473,1939,6.5,1289.0,Comedy|Drama|Musical|Romance
NINOTCHKA trailer.,https://archive.org/download/NinotchkaTrailer/NinotchkaTrailer.mp4,0031725,1939,7.9,18776.0,Comedy|Romance
ON BORROWED TIME trailer,https://archive.org/download/OnBorrowedTimeTrailer/OnBorrowedTimeTrailer.mp4,0031754,1957,7.7,1750.0,Drama|Fantasy
A CHUMP AT OXFORD trailer,https://archive.org/download/AChumpAtOxfordTrailer/AChumpAtOxfordTrailer.mp4,0032339,1939,7.4,3529.0,Comedy
STAGECOACH trailer,https://archive.org/download/StagecoachTrailer/StagecoachTrailer.mp4,0031971,1939,7.8,43121.0,Adventure|Drama|Western
THE RETURN OF DOCTOR X trailer,https://archive.org/download/TheReturnOfDoctorXTrailer/TheReturnOfDoctorXTrailer.mp4,0031851,1939,5.8,1973.0,Horror|Mystery|Sci-Fi|Thriller
THE PRIVATE LIVES OF ELIZABETH & ESSEX trailer,https://archive.org/download/ThePrivateLivesOfElizabethEssexTrailer/ThePrivateLivesOfElizabethEssexTrailer.mp4,0031826,1939,7.1,5025.0,Biography|Drama|History|Romance
THE ROARING TWENTIES trailer,https://archive.org/download/TheRoaringTwentiesTrailer/TheRoaringTwentiesTrailer.mp4,0031867,1939,8.0,12640.0,Crime|Drama|Film-Noir|Thriller
BEAU GESTE 1939 trailer,https://archive.org/download/BeauGesteTrailer/BeauGesteTrailet.mp4,0031088,1939,7.6,5485.0,Action|Adventure|Drama|War
DARK VICTORY trailer,https://archive.org/download/DarkVictoryTrailer/DarkVictoryTrailer.mp4,0031210,1939,7.5,9904.0,Drama|Romance
JUAREZ trailer,https://archive.org/download/JuarezTrailer/JuarezTrailer.mp4,0031516,1939,7.1,1963.0,Biography|Drama|History|Romance
THE CAT AND THE CANARY trailer,https://archive.org/download/TheCatAndTheCanaryTrailer/TheCatAndTheCanaryTrailer.mp4,0031143,1939,7.2,2668.0,Comedy|Horror|Mystery|Thriller
DRUMS ALONG THE MOHAWK trailer,https://archive.org/download/DrumsAlongTheMohawkTrailer/DrumsAlongTheMohawkTrailer.mp4,0031252,1939,7.1,5627.0,Drama|History|Romance|War|Western
YOU CAN'T CHEAT AN HONEST MAN trailer,https://archive.org/download/YouCantCheatAnHonestManTrailer/YouCantCheatAnHonestManTrailer.mp4,0032152,1939,7.0,1539.0,Comedy
THE WOMEN 1939 trailer,https://archive.org/download/TheWomen1939Trailer/TheWomen1939Trailer.mp4,0032143,1939,7.8,12480.0,Comedy|Drama
GUNGA DIN trailer,https://archive.org/download/GungaDinTrailer/GungaDinTrailer.mp4,0031398,1939,7.3,10892.0,Adventure|Comedy|War
GOODBYE MR CHIPS trailer,https://archive.org/download/GoodbyeMrChipsTrailer/GoodbyeMrChipsTrailer.mp4,0031385,1939,7.9,9661.0,Drama|Romance
AT THE CIRCUS trailer,https://archive.org/download/AtTheCircusTrailer/AtTheCircusTrailer.mp4,0031060,1939,6.9,5555.0,Comedy|Musical
THE SEA HAWK trailer,https://archive.org/download/TheSeaHawkTrailer/TheSeaHawkTrailer.mp4,0033028,1940,7.7,9065.0,Action|Adventure|History|Romance
THE PHILADELPHIA STORY trailer.,https://archive.org/download/ThePhiladelphiaStoryTrailer/ThePhiladelphiaStoryTrailer.mp4,0032904,1940,7.9,62902.0,Comedy|Romance
MY FAVORITE WIFE trailer,https://archive.org/download/MyFavoriteWifeTrailer/MyFavoriteWifeTrailer.mp4,0029284,1940,7.4,9165.0,Comedy|Romance
BOOM TOWN trailer,https://archive.org/download/BoomTownTrailer/BoomTownTrailer.mp4,0032273,1940,7.1,3064.0,Adventure|Drama|Romance|Western
YOUNG TOM EDISON trailer,https://archive.org/download/YoungTomEdisonTrailer/YoungTomEdisonTrailer.mp4,0033289,1940,6.8,1033.0,Biography|Drama
STRANGE CARGO trailer,https://archive.org/download/StrangeCargoTrailer/StrangeCargoTrailer.mp4,0033105,1940,6.9,2208.0,Adventure|Drama|Romance
ROAD TO SINGAPORE trailer,https://archive.org/download/RoadToSingaporeTrailer/RoadToSingaporeTrailer.mp4,0032993,1940,6.8,3508.0,Comedy|Musical|Romance
NORTHWEST PASSAGE trailer,https://archive.org/download/NorthwestPassageTrailer/NorthwestPassageTrailer.mp4,0032851,1940,7.1,3264.0,Adventure|Drama|History|Romance|War|Western
SAPS AT SEA trailer,https://archive.org/download/SapsAtSeaTrailer/SapsAtSeaTrailer.mp4,0033022,1940,7.2,2491.0,Comedy
BROTHER ORCHID trailer,https://archive.org/download/BrotherOrchidTrailer/BrotherOrchidTrailer.mp4,0032285,1940,7.0,2468.0,Comedy|Crime|Drama|Romance
JITTERBUGS trailer,https://archive.org/download/JitterbugsTrailer/JitterbugsTrailer.mp4,0033022,1943,7.2,2491.0,Comedy
THE MORTAL STORM trailer,https://archive.org/download/TheMortalStormTrailer/TheMortalStormTrailer.mp4,0032811,1940,7.8,4506.0,Drama
THE GHOST BREAKERS trailer,https://archive.org/download/GhostbreakersTrailer/GhostbreakersTrailer.mp4,0032520,1940,7.2,3056.0,Comedy|Horror|Mystery
THEY DRIVE BY NIGHT 1940 trailer,https://archive.org/download/TheyDriveByNight1940Trailer/TheyDriveByNight1940Trailer.mp4,0033149,1940,7.3,7124.0,Crime|Drama|Film-Noir|Thriller
